#   index   ;    x_undf  ;    y_undf  ;    z_undf  ;    ux      ;    uy      ;    uz      ;    eps_x   ;    eps_y   ;    eps_xy  ;    eps_eqv ;    s_x     ;    s_y     ;    s_xy    
   93.000000;   40.000000;  -10.000000;    0.000000;   -0.017152;    0.086971;    0.000000;   -0.079277;    0.174360;    0.000748;    0.204469;  -17.564104;  119.743320;   40.477377
   94.000000;   40.000000;  -10.500000;    0.000000;   -0.016680;    0.086108;    0.000000;   -0.078327;    0.170896;    0.000732;    0.200537;  -17.720596;  117.197399;   39.644331
   95.000000;   40.000000;  -11.000000;    0.000000;   -0.016227;    0.085262;    0.000000;   -0.077380;    0.167725;    0.000718;    0.196907;  -17.800837;  114.887516;   38.873116
   96.000000;   40.000000;  -11.500000;    0.000000;   -0.015792;    0.084431;    0.000000;   -0.076320;    0.164583;    0.000703;    0.193231;  -17.782039;  112.631666;   38.067230
   97.000000;   40.500000;   -0.500000;    0.000000;   -0.036077;    0.115539;    0.000000;   -0.012505;    0.515696;   -0.000347;    0.542308;  127.399565;  413.343246;  -18.763784
   98.000000;   41.000000;   -0.500000;    0.000000;   -0.035626;    0.116075;    0.000000;    0.101749;    0.373328;   -0.000743;    0.411394;  181.755356;  328.775192;  -40.248318
   99.000000;   41.500000;   -0.500000;    0.000000;   -0.035060;    0.116348;    0.000000;    0.107159;    0.308025;   -0.000536;    0.345808;  168.714645;  277.453995;  -28.991280
  100.000000;   42.000000;   -0.500000;    0.000000;   -0.034554;    0.116507;    0.000000;    0.094026;    0.269841;   -0.000398;    0.300805;  147.921257;  243.099518;  -21.560600
  101.000000;   42.500000;   -0.500000;    0.000000;   -0.034119;    0.116615;    0.000000;    0.080706;    0.244947;   -0.000305;    0.269558;  130.521309;  219.433804;  -16.505805
  102.000000;   43.000000;   -0.500000;    0.000000;   -0.033747;    0.116694;    0.000000;    0.069089;    0.227242;   -0.000241;    0.246728;  116.414686;  202.031265;  -13.057099
  103.000000;   43.500000;   -0.500000;    0.000000;   -0.033429;    0.116755;    0.000000;    0.059265;    0.213906;   -0.000196;    0.229357;  104.920509;  188.636360;  -10.607679
  104.000000;   44.000000;   -0.500000;    0.000000;   -0.033155;    0.116804;    0.000000;    0.050938;    0.203429;   -0.000163;    0.215687;   95.398529;  177.950073;   -8.809309
  105.000000;   44.500000;   -0.500000;    0.000000;   -0.032919;    0.116844;    0.000000;    0.043818;    0.194934;   -0.000138;    0.204643;   87.381004;  169.188293;   -7.449298
  106.000000;   45.000000;   -0.500000;    0.000000;   -0.032717;    0.116877;    0.000000;    0.037667;    0.187879;   -0.000118;    0.195526;   80.530033;  161.847843;   -6.394817
  107.000000;   45.500000;   -0.500000;    0.000000;   -0.032542;    0.116905;    0.000000;    0.032299;    0.181906;   -0.000103;    0.187871;   74.600178;  155.590717;   -5.559689
  108.000000;   46.000000;   -0.500000;    0.000000;   -0.032394;    0.116930;    0.000000;    0.027570;    0.176771;   -0.000090;    0.181350;   69.410038;  150.180786;   -4.886193
  109.000000;   46.500000;   -0.500000;    0.000000;   -0.032267;    0.116952;    0.000000;    0.023369;    0.172300;   -0.000080;    0.175728;   64.823092;  145.447723;   -4.334512
  110.000000;   47.000000;   -0.500000;    0.000000;   -0.032160;    0.116971;    0.000000;    0.019607;    0.168365;   -0.000072;    0.170831;   60.734729;  141.265282;   -3.876449
  111.000000;   47.500000;   -0.500000;    0.000000;   -0.032071;    0.116988;    0.000000;    0.016217;    0.164871;   -0.000064;    0.166529;   57.063520;  137.537766;   -3.491539
  112.000000;   48.000000;   -0.500000;    0.000000;   -0.031998;    0.117003;    0.000000;    0.013142;    0.161744;   -0.000058;    0.162721;   53.745177;  134.191246;   -3.164552
  113.000000;   48.500000;   -0.500000;    0.000000;   -0.031939;    0.117017;    0.000000;    0.010338;    0.158927;   -0.000053;    0.159328;   50.728435;  131.167648;   -2.883787
  114.000000;   49.000000;   -0.500000;    0.000000;   -0.031894;    0.117029;    0.000000;    0.007769;    0.156375;   -0.000049;    0.156287;   47.972248;  128.420750;   -2.639830
  115.000000;   49.500000;   -0.500000;    0.000000;   -0.031862;    0.117041;    0.000000;    0.005406;    0.154051;   -0.000045;    0.153548;   45.444001;  125.913408;   -2.424572
  116.000000;   50.000000;   -0.500000;    0.000000;   -0.031840;    0.117051;    0.000000;    0.003229;    0.151926;   -0.000041;    0.151071;   43.118471;  123.615973;   -2.230659
  117.000000;   50.500000;   -0.500000;    0.000000;   -0.031829;    0.117061;    0.000000;    0.001221;    0.149978;   -0.000038;    0.148824;   40.976243;  121.506184;   -2.052383
  118.000000;   51.000000;   -0.500000;    0.000000;   -0.031828;    0.117070;    0.000000;   -0.000634;    0.148202;   -0.000035;    0.146797;   39.003752;  119.576344;   -1.897505
  119.000000;   51.500000;   -0.500000;    0.000000;   -0.031836;    0.117077;    0.000000;   -0.002419;    0.146634;   -0.000033;    0.145014;   37.143871;  117.834200;   -1.811428
  120.000000;   40.500000;   -1.000000;    0.000000;   -0.033694;    0.112653;    0.000000;   -0.093617;    0.539579;    0.000071;    0.541071;   68.230081;  411.012558;    3.825777
  121.000000;   41.000000;   -1.000000;    0.000000;   -0.034037;    0.114077;    0.000000;   -0.028768;    0.416370;   -0.000607;    0.421774;   87.775347;  328.752304;  -32.876372
  122.000000;   41.500000;   -1.000000;    0.000000;   -0.033982;    0.114730;    0.000000;    0.025869;    0.339095;   -0.000702;    0.353262;  111.317129;  280.883041;  -37.985247
  123.000000;   42.000000;   -1.000000;    0.000000;   -0.033778;    0.115111;    0.000000;    0.044862;    0.291338;   -0.000608;    0.308712;  113.929152;  247.360077;  -32.920693
  124.000000;   42.500000;   -1.000000;    0.000000;   -0.033533;    0.115360;    0.000000;    0.049110;    0.259934;   -0.000507;    0.276834;  108.988159;  223.118217;  -27.444292
  125.000000;   43.000000;   -1.000000;    0.000000;   -0.033287;    0.115537;    0.000000;    0.047653;    0.237994;   -0.000421;    0.252993;  101.961462;  205.002975;  -22.811963
  126.000000;   43.500000;   -1.000000;    0.000000;   -0.033057;    0.115671;    0.000000;    0.044033;    0.221843;   -0.000353;    0.234612;   94.729725;  190.987549;  -19.136678
  127.000000;   44.000000;   -1.000000;    0.000000;   -0.032847;    0.115776;    0.000000;    0.039704;    0.209443;   -0.000300;    0.220068;   87.925896;  179.814682;  -16.243416
  128.000000;   44.500000;   -1.000000;    0.000000;   -0.032659;    0.115860;    0.000000;    0.035277;    0.199599;   -0.000258;    0.208303;   81.724316;  170.680523;  -13.951515
  129.000000;   45.000000;   -1.000000;    0.000000;   -0.032494;    0.115931;    0.000000;    0.031009;    0.191571;   -0.000224;    0.198603;   76.134800;  163.055824;  -12.115240
  130.000000;   45.500000;   -1.000000;    0.000000;   -0.032349;    0.115991;    0.000000;    0.026998;    0.184880;   -0.000196;    0.190476;   71.110117;  156.580185;  -10.625513
  131.000000;   46.000000;   -1.000000;    0.000000;   -0.032224;    0.116042;    0.000000;    0.023274;    0.179204;   -0.000174;    0.183572;   66.587505;  151.000504;   -9.402010
